question,algorithm,feature_set,train_set_size,test_set_size,test_set_ratio,perf_measure,performance,other_info,seed
1,RF,combined,3200,3200,1:1,accuracy,0.833125,,1338
1,RF,combined,3200,3200,1:1,accuracy,0.84,,1339
1,LGBM,parsed,3200,3200,1:1,accuracy,0.82875,,1337
1,LGBM,parsed,3200,3200,1:1,accuracy,0.803125,,1338
1,LGBM,parsed,3200,3200,1:1,accuracy,0.828125,,1339
1,LGBM,format_agnostic,3200,3200,1:1,accuracy,0.82125,,1337
1,LGBM,format_agnostic,3200,3200,1:1,accuracy,0.83,,1338
1,LGBM,format_agnostic,3200,3200,1:1,accuracy,0.834375,,1339
1,LGBM,combined,3200,3200,1:1,accuracy,0.840625,,1337
1,LGBM,combined,3200,3200,1:1,accuracy,0.848125,,1338
1,LGBM,combined,3200,3200,1:1,accuracy,0.88,,1339
1,SVM,parsed,3200,3200,1:1,accuracy,0.7121875,,1337
1,SVM,parsed,3200,3200,1:1,accuracy,0.776875,,1338
1,SVM,parsed,3200,3200,1:1,accuracy,0.7284375,,1339
1,SVM,format_agnostic,3200,3200,1:1,accuracy,0.718125,,1337
1,SVM,format_agnostic,3200,3200,1:1,accuracy,0.7446875,,1338
1,SVM,format_agnostic,3200,3200,1:1,accuracy,0.723125,,1339
1,SVM,combined,3200,3200,1:1,accuracy,0.7159375,,1337
1,SVM,combined,3200,3200,1:1,accuracy,0.75625,,1338
1,SVM,combined,3200,3200,1:1,accuracy,0.7328125,,1339
1,DT,parsed,6400,6400,1:1,accuracy,0.78078125,,1337
1,DT,parsed,6400,6400,1:1,accuracy,0.76203125,,1338
1,DT,parsed,6400,6400,1:1,accuracy,0.78859375,,1339
1,DT,format_agnostic,6400,6400,1:1,accuracy,0.7521875,,1337
1,DT,format_agnostic,6400,6400,1:1,accuracy,0.73796875,,1338
1,DT,format_agnostic,6400,6400,1:1,accuracy,0.72140625,,1339
1,DT,combined,6400,6400,1:1,accuracy,0.8090625,,1337
1,DT,combined,6400,6400,1:1,accuracy,0.7934375,,1338
1,DT,combined,6400,6400,1:1,accuracy,0.8028125,,1339
1,RF,parsed,6400,6400,1:1,accuracy,0.8065625,,1337
1,RF,parsed,6400,6400,1:1,accuracy,0.7690625,,1338
1,RF,parsed,6400,6400,1:1,accuracy,0.78109375,,1339
1,RF,format_agnostic,6400,6400,1:1,accuracy,0.81265625,,1337
1,RF,format_agnostic,6400,6400,1:1,accuracy,0.80703125,,1338
1,RF,format_agnostic,6400,6400,1:1,accuracy,0.813125,,1339
1,RF,combined,6400,6400,1:1,accuracy,0.8428125,,1337
1,RF,combined,6400,6400,1:1,accuracy,0.84,,1338
1,RF,combined,6400,6400,1:1,accuracy,0.84359375,,1339
1,LGBM,parsed,6400,6400,1:1,accuracy,0.874375,,1337
1,LGBM,parsed,6400,6400,1:1,accuracy,0.81140625,,1338
1,LGBM,parsed,6400,6400,1:1,accuracy,0.8325,,1339
1,LGBM,format_agnostic,6400,6400,1:1,accuracy,0.8471875,,1337
1,LGBM,format_agnostic,6400,6400,1:1,accuracy,0.8415625,,1338
1,LGBM,format_agnostic,6400,6400,1:1,accuracy,0.83703125,,1339
1,LGBM,combined,6400,6400,1:1,accuracy,0.87953125,,1337
1,LGBM,combined,6400,6400,1:1,accuracy,0.87140625,,1338
1,LGBM,combined,6400,6400,1:1,accuracy,0.86625,,1339
1,SVM,parsed,6400,6400,1:1,accuracy,0.721875,,1337
1,SVM,parsed,6400,6400,1:1,accuracy,0.75875,,1338
1,SVM,parsed,6400,6400,1:1,accuracy,0.76078125,,1339
1,SVM,format_agnostic,6400,6400,1:1,accuracy,0.74109375,,1337
1,SVM,format_agnostic,6400,6400,1:1,accuracy,0.7225,,1338
1,SVM,format_agnostic,6400,6400,1:1,accuracy,0.72703125,,1339
1,SVM,combined,6400,6400,1:1,accuracy,0.72671875,,1337
1,SVM,combined,6400,6400,1:1,accuracy,0.738125,,1338
1,SVM,combined,6400,6400,1:1,accuracy,0.7528125,,1339
1,DT,parsed,12800,12800,1:1,accuracy,0.796640625,,1337
1,DT,parsed,12800,12800,1:1,accuracy,0.786953125,,1338
1,DT,parsed,12800,12800,1:1,accuracy,0.7559375,,1339
1,DT,format_agnostic,12800,12800,1:1,accuracy,0.7609375,,1337
1,DT,format_agnostic,12800,12800,1:1,accuracy,0.7475,,1338
1,DT,format_agnostic,12800,12800,1:1,accuracy,0.736953125,,1339
1,DT,combined,12800,12800,1:1,accuracy,0.795546875,,1337
1,DT,combined,12800,12800,1:1,accuracy,0.76890625,,1338
1,DT,combined,12800,12800,1:1,accuracy,0.807421875,,1339
1,RF,parsed,12800,12800,1:1,accuracy,0.800703125,,1337
1,RF,parsed,12800,12800,1:1,accuracy,0.76875,,1338
1,RF,parsed,12800,12800,1:1,accuracy,0.78375,,1339
1,RF,format_agnostic,12800,12800,1:1,accuracy,0.829453125,,1337
1,RF,format_agnostic,12800,12800,1:1,accuracy,0.812734375,,1338
1,RF,format_agnostic,12800,12800,1:1,accuracy,0.833984375,,1339
1,RF,combined,12800,12800,1:1,accuracy,0.861015625,,1337
1,RF,combined,12800,12800,1:1,accuracy,0.845859375,,1338
1,RF,combined,12800,12800,1:1,accuracy,0.864609375,,1339
